Miejscowosc                   Srednia                       Min                           Max                           
Hornsey                       51.587                        51.587                        51.587                        
Yozgat                        39.8208                       39.8208                       39.8208                       
Doi Saket                     18.8667                       18.8667                       18.8667                       
Nerima                        35.7355                       35.7355                       35.7355                       
Mexico City                   19.4333                       19.4333                       19.4333                       
Bijeljina                     44.75                         44.75                         44.75                         
Chosica                       -11.9361                      -11.9361                      -11.9361                      
Sarh                          9.15                          9.15                          9.15                          
Olching                       48.2                          48.2                          48.2                          
Kurikuppi                     15.07                         15.07                         15.07                         
Lishui                        28.45                         28.45                         28.45                         
Rodniki                       57.1167                       57.1167                       57.1167                       
Yerevan                       40.1814                       40.1814                       40.1814                       
Batgram                       34.6833                       34.6833                       34.6833                       
City of Orange                40.7681                       40.7681                       40.7681                       
Cairo                         30.4617                       30.0444                       30.879                        
Xaignabouli                   19.25                         19.25                         19.25                         
Hanoi                         21.0283                       21.0283                       21.0283                       
Lambton Shores                43.1833                       43.1833                       43.1833                       
Puente de Piedra              10.0298                       10.0298                       10.0298                       
Luganville                    -15.5333                      -15.5333                      -15.5333                      
Kasugai                       35.2475                       35.2475                       35.2475                       
Glens Falls                   43.3109                       43.3109                       43.3109                       
Oudtshoorn                    -33.5833                      -33.5833                      -33.5833                      
Dorchester                    50.7154                       50.7154                       50.7154                       
Hakha                         22.6455                       22.6455                       22.6455                       
New York                      40.6943                       40.6943                       40.6943                       
Yuxi                          24.3495                       24.3495                       24.3495                       
Bangzha                       24.8345                       24.8345                       24.8345                       
Xiaoyi                        37.1449                       37.1449                       37.1449                       
Bilopillya                    51.1474                       51.1474                       51.1474                       
Avrankou                      6.55                          6.55                          6.55                          
Kashgar                       39.4681                       39.4681                       39.4681                       
Lima                          1.59367                       -23.9                         40.741                        
Kericho                       -0.3692                       -0.3692                       -0.3692                       
Casablanca                    0.1083                        -33.3167                      33.5333                       
Ixtapa Zihuatanejo            17.6367                       17.6367                       17.6367                       
Dhaka                         23.7639                       23.7639                       23.7639                       
Vushtrri                      42.8222                       42.8222                       42.8222                       
Onitsha                       6.1667                        6.1667                        6.1667                        
Djemmal                       35.64                         35.64                         35.64                         
Pretoria                      -25.7461                      -25.7461                      -25.7461                      
Meram                         37.8364                       37.8364                       37.8364                       
Maputo                        -25.9667                      -25.9667                      -25.9667                      
Zhugang                       28.1277                       28.1277                       28.1277                       
Makuyu                        -0.9                          -0.9                          -0.9                          
Mikumi                        -7.4072                       -7.4072                       -7.4072                       
San Antonio                   5.94736                       -33.5933                      29.4632                       
Millville                     39.3903                       39.3903                       39.3903                       
Pontes e Lacerda              -15.2258                      -15.2258                      -15.2258                      
Bellevue                      45.5185                       41.1485                       48.871                        
Moses Lake                    47.1279                       47.1279                       47.1279                       
Ambohimahamasina              -21.9333                      -21.9333                      -21.9333                      
Vught                         51.65                         51.65                         51.65                         
Plabennec                     48.5019                       48.5019                       48.5019                       
White Settlement              32.7554                       32.7554                       32.7554                       
Kantai                        26.2142                       26.2142                       26.2142                       
Beijing                       39.904                        39.904                        39.904                        
Wyomissing                    40.3317                       40.3317                       40.3317                       
Kamnik                        46.2257                       46.2257                       46.2257                       
Eastern Goleta Valley         34.4448                       34.4448                       34.4448                       
Khardah                       22.72                         22.72                         22.72                         
Cranbrook                     49.5097                       49.5097                       49.5097                       
Bogor                         -6.5966                       -6.5966                       -6.5966                       
Casas Adobes                  32.3423                       32.3423                       32.3423                       
Jagdispur                     22.65                         22.65                         22.65                         
Schagen                       52.7833                       52.7833                       52.7833                       
Cooma                         -36.2317                      -36.2317                      -36.2317                      
Mesquite                      34.7817                       32.7602                       36.8032                       
Capim Branco                  -19.5489                      -19.5489                      -19.5489                      
Garhi                         24.7904                       24.7904                       24.7904                       
Chongzuo                      22.4167                       22.4167                       22.4167                       
Jihlava                       49.4003                       49.4003                       49.4003                       
Herzele                       50.8833                       50.8833                       50.8833                       
Bangkok                       13.7525                       13.7525                       13.7525                       
Corby                         52.4877                       52.4877                       52.4877                       
Xintianfeng                   24.4575                       24.4575                       24.4575                       
Dingxi                        35.5806                       35.5806                       35.5806                       
Taihecun                      45.768                        45.768                        45.768                        
Wombwell                      53.516                        53.516                        53.516                        
Bramhall                      53.357                        53.357                        53.357                        
Shenzhen                      22.535                        22.535                        22.535                        
Mission Bend                  29.6948                       29.6948                       29.6948                       
Fushun                        41.8708                       41.8708                       41.8708                       
Altamura                      40.8167                       40.8167                       40.8167                       
Clay                          38.438                        33.6951                       43.1808                       
Yauco                         18.0344                       18.0344                       18.0344                       
Chattanooga                   35.066                        35.066                        35.066                        
Saraikela                     22.6996                       22.6996                       22.6996                       
Suva                          -18.1416                      -18.1416                      -18.1416                      
Lingquan                      36.9985                       36.9985                       36.9985                       
Mengdingjie                   23.5517                       23.5517                       23.5517                       
Putrajaya                     2.93                          2.93                          2.93                          
Le Havre                      49.49                         49.49                         49.49                         
Paterna                       39.5028                       39.5028                       39.5028                       
Fern Down                     50.81                         50.81                         50.81                         
Richmond Hill                 37.8839                       31.9012                       43.8667                       
Raseiniai                     55.3667                       55.3667                       55.3667                       
Nabua                         13.4083                       13.4083                       13.4083                       
Ningbo                        29.875                        29.875                        29.875                        
Santo Tomas                   14.06                         7.5333                        17.4                          
Chini                         23.3916                       23.3916                       23.3916                       
South Orange Village          40.7491                       40.7491                       40.7491                       
Feira de Santana              -12.25                        -12.25                        -12.25                        
Feilding                      -40.2167                      -40.2167                      -40.2167                      
Lille                         50.9305                       50.6278                       51.2333                       
Bourdoud                      34.5922                       34.5922                       34.5922                       
Alfenas                       -21.4289                      -21.4289                      -21.4289                      
Soamahamanina                 -18.9833                      -18.9833                      -18.9833                      
Comalapa                      13.9722                       12.2842                       15.6602                       
Ostrava                       49.8356                       49.8356                       49.8356                       
Tawau                         4.2448                        4.2448                        4.2448                        
Governador Archer             -5.0219                       -5.0219                       -5.0219                       
Ibaretama                     -4.8039                       -4.8039                       -4.8039                       
Kassala                       15.45                         15.45                         15.45                         
Angallu                       13.6287                       13.6287                       13.6287                       
Moscow                        51.2433                       46.7308                       55.7558                       
Tunzi                         35.5782                       35.5782                       35.5782                       
Dashtobod                     40.1269                       40.1269                       40.1269                       
Corridonia                    43.25                         43.25                         43.25                         
Borna                         38.277                        25.4373                       51.1167                       
Mansa Konko                   13.4667                       13.4667                       13.4667                       
Mudanjiang                    44.5861                       44.5861                       44.5861                       
Iringa                        -7.77                         -7.77                         -7.77                         
Dar es Salaam                 -6.8161                       -6.8161                       -6.8161                       
Newcastle                     15.4175                       -32.9167                      54.98                         
Taipei                        25.0375                       25.0375                       25.0375                       
Abu                           24.5925                       24.5925                       24.5925                       
Izumo                         35.3667                       35.3667                       35.3667                       
Oftringen                     47.3167                       47.3167                       47.3167                       
Sherkot                       29.35                         29.35                         29.35                         
Samarkand                     39.6547                       39.6547                       39.6547                       
Bolhrad                       45.6855                       45.6855                       45.6855                       
Yatou                         37.1653                       37.1653                       37.1653                       
Aruppukkottai                 9.5139                        9.5139                        9.5139                        
Truro                         47.8123                       45.3647                       50.26                         
Puerto Princesa               9.75                          9.75                          9.75                          
Odense                        55.3958                       55.3958                       55.3958                       
Dumraon                       25.5526                       25.5526                       25.5526                       
Agidel                        55.9                          55.9                          55.9                          
Hillcrest                     38.2544                       35.379                        41.1298                       
Urla                          38.3222                       38.3222                       38.3222                       
Qingzhen                      26.5555                       26.5555                       26.5555                       
Buenos Aires                  -7.55258                      -34.5997                      9.1985                        
Xihuangcun                    37.1411                       37.1411                       37.1411                       
Patna                         25.6                          25.6                          25.6                          
Pithampur                     22.6197                       22.6197                       22.6197                       
Puri                          6.06365                       -7.6833                       19.8106                       
Glocester                     41.8934                       41.8934                       41.8934                       
Damaishan                     24.5038                       24.5038                       24.5038                       
Istanbul                      41.0136                       41.0136                       41.0136                       
Thatto Heath                  53.4352                       53.4352                       53.4352                       
San Pedro                     -1.23216                      -33.8944                      25.7578                       
Seaside                       36.6224                       36.6224                       36.6224                       
Elizabethtown                 38.9282                       37.7031                       40.1533                       
Yurga                         55.7231                       55.7231                       55.7231                       
Pak Tin Pa                    22.3364                       22.3364                       22.3364                       
Magarao                       13.6619                       13.6619                       13.6619                       
Kochi                         9.97                          9.97                          9.97                          
Mattigiri                     12.698                        12.698                        12.698                        
Birmingham                    42.8508                       33.5279                       52.48                         
Serra Azul                    -21.3108                      -21.3108                      -21.3108                      
Belmont                       38.5487                       35.2212                       42.396                        
Nawalgarh                     27.85                         27.85                         27.85                         
Dayin                         38.9358                       38.9358                       38.9358                       
Zima                          53.9167                       53.9167                       53.9167                       
Bilbao                        43.2569                       43.2569                       43.2569                       
Bandio                        13.8888                       13.8888                       13.8888                       
Luoyang                       34.6587                       34.6587                       34.6587                       
Shangluhu                     23.2538                       23.2538                       23.2538                       
Kamphaeng Phet                16.4811                       16.4811                       16.4811                       
Karuvambram                   11.0271                       11.0271                       11.0271                       
Chiramba                      -16.8921                      -16.8921                      -16.8921                      
Lingcheng                     22.7                          22.7                          22.7                          
San Carlos City               15.9281                       15.9281                       15.9281                       
Queimada Nova                 -8.5789                       -8.5789                       -8.5789                       
Karachi                       24.86                         24.86                         24.86                         
Kimberley                     -28.7383                      -28.7383                      -28.7383                      
Chengdu                       30.66                         30.66                         30.66                         
Neyveli                       11.6088                       11.6088                       11.6088                       
Kunoy                         62.2917                       62.2917                       62.2917                       
Salzburg                      47.8                          47.8                          47.8                          
San Salvador de Jujuy         -24.1833                      -24.1833                      -24.1833                      
Tabaco                        13.35                         13.35                         13.35                         
Lentvaris                     54.65                         54.65                         54.65                         
Bel Air South                 39.5022                       39.5022                       39.5022                       
Montabaur                     50.4375                       50.4375                       50.4375                       
Ojus                          25.9563                       25.9563                       25.9563                       
Barra do Dande                -8.4728                       -8.4728                       -8.4728                       
Dol                           46.0884                       46.0884                       46.0884                       
Takerbouzt                    36.418                        36.418                        36.418                        
Medford                       41.3616                       39.8639                       42.4234                       
Monte di Procida              40.8                          40.8                          40.8                          
Behat                         26.2435                       26.2435                       26.2435                       
Presidente Prudente           -22.1256                      -22.1256                      -22.1256                      
Kumo                          10.0431                       10.0431                       10.0431                       
Algonquin                     42.1629                       42.1629                       42.1629                       
Lashio                        22.9333                       22.9333                       22.9333                       
Hude                          53.1111                       53.1111                       53.1111                       
Saddiqabad                    28.3006                       28.3006                       28.3006                       
Sorala                        19.1492                       19.1492                       19.1492                       
Swindon                       51.56                         51.56                         51.56                         
West Bromwich                 52.519                        52.519                        52.519                        
Coruripe                      -10.1258                      -10.1258                      -10.1258                      
Lutsk                         50.75                         50.75                         50.75                         
Sambhal                       28.58                         28.58                         28.58                         
Sabadell                      41.5483                       41.5483                       41.5483                       
Trofimovsk                    72.5997                       72.5997                       72.5997                       
Cedar Hill                    32.581                        32.581                        32.581                        
North Port                    27.0576                       27.0576                       27.0576                       
Lajkovac                      44.3667                       44.3667                       44.3667                       
Radom                         51.4036                       51.4036                       51.4036                       
Eisenstadt                    47.85                         47.85                         47.85                         
Taza                          34.6403                       34.2167                       35.0639                       
Miguel Alves                  -4.1658                       -4.1658                       -4.1658                       
Hitoyoshi                     32.2167                       32.2167                       32.2167                       
La Leonesa                    -27.05                        -27.05                        -27.05                        
Modena                        44.6458                       44.6458                       44.6458                       
Jaipur Chuhar                 25.4187                       25.4187                       25.4187                       
Cateel                        7.79                          7.79                          7.79                          
In Guezzam                    19.5686                       19.5686                       19.5686                       
Santa Luzia                   -14.0236                      -19.77                        -6.8719                       
Vohipeno                      -19.7584                      -22.35                        -17.1667                      
Tiaong                        13.95                         13.95                         13.95                         
San Bernardino                7.7881                        -25.3106                      34.1416                       
Jamsher                       31.27                         31.27                         31.27                         
Batu                          -7.872                        -7.872                        -7.872                        
La Vega                       8.74                          2.0008                        19.22                         
Erba                          45.8167                       45.8167                       45.8167                       
Sa Kaeo                       13.8206                       13.8206                       13.8206                       
San Agustin                   14.5428                       12.5689                       16.5167                       
Somero                        60.6333                       60.6333                       60.6333                       
El Reno                       35.5429                       35.5429                       35.5429                       
Huy                           50.5167                       50.5167                       50.5167                       
Oulad Amrane el Mekki         35.2167                       35.2167                       35.2167                       
Sihu                          23.6411                       23.6411                       23.6411                       
Castellamonte                 45.382                        45.382                        45.382                        
Chebrolu                      16.5086                       16.1967                       16.8206                       
Laives                        46.4228                       46.4228                       46.4228                       
American Canyon               38.1796                       38.1796                       38.1796                       
Stadtallendorf                50.8333                       50.8333                       50.8333                       
Cujubim                       -9.3628                       -9.3628                       -9.3628                       
Duarte                        34.161                        34.161                        34.161                        
Xinzhai                       26.6959                       26.6959                       26.6959                       
Ampasimazava                  -17.6667                      -17.6667                      -17.6667                      
